genres_expanded_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,key,level_7,genres_albums
14366,6V7QyA9N0Zp7C6k8qsYfpm,spotify:track:6V7QyA9N0Zp7C6k8qsYfpm,Kahaan Ho Tum,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Kahaan Ho Tum:Prateek Kuhad,1,folk-pop
14367,6V7QyA9N0Zp7C6k8qsYfpm,spotify:track:6V7QyA9N0Zp7C6k8qsYfpm,Kahaan Ho Tum,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Kahaan Ho Tum:Prateek Kuhad,2,hindi indie
14368,6V7QyA9N0Zp7C6k8qsYfpm,spotify:track:6V7QyA9N0Zp7C6k8qsYfpm,Kahaan Ho Tum,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Kahaan Ho Tum:Prateek Kuhad,3,indian indie
14369,6V7QyA9N0Zp7C6k8qsYfpm,spotify:track:6V7QyA9N0Zp7C6k8qsYfpm,Kahaan Ho Tum,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Kahaan Ho Tum:Prateek Kuhad,4,indian singer-songwriter
14370,1UYRVAl0cRketxgh3oUGkR,spotify:track:1UYRVAl0cRketxgh3oUGkR,Mary Mac,2gM5crZLb9cRnShpDbdly4,Hair of the Dog,spotify:artist:2gM5crZLb9cRnShpDbdly4,Mary Mac:Hair of the Dog,0,celtic rock
14371,1UYRVAl0cRketxgh3oUGkR,spotify:track:1UYRVAl0cRketxgh3oUGkR,Mary Mac,2gM5crZLb9cRnShpDbdly4,Hair of the Dog,spotify:artist:2gM5crZLb9cRnShpDbdly4,Mary Mac:Hair of the Dog,1,irish folk
14372,1UYRVAl0cRketxgh3oUGkR,spotify:track:1UYRVAl0cRketxgh3oUGkR,Mary Mac,2gM5crZLb9cRnShpDbdly4,Hair of the Dog,spotify:artist:2gM5crZLb9cRnShpDbdly4,Mary Mac:Hair of the Dog,2,shanty
14373,5VHUehmGMkLCB6CXzBT4JN,spotify:track:5VHUehmGMkLCB6CXzBT4JN,ANECDOTE,4oXf5OZHHXh8SbprWRa1f8,Rahul,spotify:artist:4oXf5OZHHXh8SbprWRa1f8,ANECDOTE:Rahul,0,genre not available
14374,0OBFJ2klMAcaw5DbEmfwOq,spotify:track:0OBFJ2klMAcaw5DbEmfwOq,Tu Mile Dil Khile,5qERXbPWPdUePjrAW00vuU,Raj Barman,spotify:artist:5qERXbPWPdUePjrAW00vuU,Tu Mile Dil Khile:Raj Barman,0,bangla pop
14375,0OBFJ2klMAcaw5DbEmfwOq,spotify:track:0OBFJ2klMAcaw5DbEmfwOq,Tu Mile Dil Khile,5qERXbPWPdUePjrAW00vuU,Raj Barman,spotify:artist:5qERXbPWPdUePjrAW00vuU,Tu Mile Dil Khile:Raj Barman,1,desi pop
