tracks_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,album_id,album_name,album_uri,key
78,1uMHCAyGmHqyygoNRuo7MV,spotify:track:1uMHCAyGmHqyygoNRuo7MV,edamame (feat. Rich Brian),41X1TR6hrK8Q2ZCpp2EqCz,bbno$,spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz,1YrACh9xDRGpjrkdWz4MfP,edamame (feat. Rich Brian),spotify:album:1YrACh9xDRGpjrkdWz4MfP,edamame (feat. Rich Brian):bbno$
79,0MENcfdtQQMTlepBOQGIZ8,spotify:track:0MENcfdtQQMTlepBOQGIZ8,Lead the Way,2d58BZUfGvr3SyaCnFArKX,Reem,spotify:artist:2d58BZUfGvr3SyaCnFArKX,2IFjuvz2JNyKpdxNHsvz2K,Lead the Way,spotify:album:2IFjuvz2JNyKpdxNHsvz2K,Lead the Way:Reem
80,1ZdhOMWyFR8Iv9eylMGYg2,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,2feDdbD5araYcm6JhFHHw7,Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7,0FSsRH1jeZqKbGcHwq3UO0,Imagination & the Misfit Kid,spotify:album:0FSsRH1jeZqKbGcHwq3UO0,Mount Everest:Labrinth
81,0xLCa6dp0wmDUhkDGKzDpv,spotify:track:0xLCa6dp0wmDUhkDGKzDpv,F.F.F. (feat. G-Eazy),64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,2rBHhp9tNShxTb529Hi5AS,All Your Fault: Pt. 1,spotify:album:2rBHhp9tNShxTb529Hi5AS,F.F.F. (feat. G-Eazy):Bebe Rexha
82,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,Summer,7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,48zisMeiXniWLzOQghbPqS,Motion,spotify:album:48zisMeiXniWLzOQghbPqS,Summer:Calvin Harris
83,1yFryDjhXXIIaJA1dKqrab,spotify:track:1yFryDjhXXIIaJA1dKqrab,Faltu Pyar,6gIqKYKRmltKfkTnxhMv8V,Hasan Raheem,spotify:artist:6gIqKYKRmltKfkTnxhMv8V,5DfIEUN6BSCNEETICvOQtm,Faltu Pyar,spotify:album:5DfIEUN6BSCNEETICvOQtm,Faltu Pyar:Hasan Raheem
84,3ZeyEvTgSlKajHc0fckgZT,spotify:track:3ZeyEvTgSlKajHc0fckgZT,FOR YOUR LOVE,0lAWpj5szCSwM4rUMHYmrr,Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,7KF1Ain9mYYlg5M46g0i4A,Teatro d'ira - Vol. I,spotify:album:7KF1Ain9mYYlg5M46g0i4A,FOR YOUR LOVE:Måneskin
85,6hULiSmcrKKWVx74G1gPr6,spotify:track:6hULiSmcrKKWVx74G1gPr6,pl4yg1rl,2qDIR2WlcW3llkGqJWg9VJ,Lolo Zouaï,spotify:artist:2qDIR2WlcW3llkGqJWg9VJ,0hKVypyK1PsoVe3Rjvml0X,PLAYGIRL,spotify:album:0hKVypyK1PsoVe3Rjvml0X,pl4yg1rl:Lolo Zouaï
86,7bH9S0IHoM5kznWf1432zZ,spotify:track:7bH9S0IHoM5kznWf1432zZ,Lift Me Up,5LHRHt1k9lMyONurDHEdrp,Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp,213G7PRCQ5lTQEBMx7qqbW,Lift Me Up,spotify:album:213G7PRCQ5lTQEBMx7qqbW,Lift Me Up:Tyga
87,4c4qqhFrvOgddweMQS0ptG,spotify:track:4c4qqhFrvOgddweMQS0ptG,Sacrifice (Remix) (feat. Swedish House Mafia),1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,3esNgb0dchNmQ3MhlUVaa7,Dawn FM (Alternate World),spotify:album:3esNgb0dchNmQ3MhlUVaa7,Sacrifice (Remix) (feat. Swedish House Mafia):The Weeknd
