library_track_id,artist,album,track,uri
19,"merci, mercy",Why'd You Only Call Me When You're High?,Why'd You Only Call Me When You're High?,spotify:track:7GzmBQVPlJ9blD0Qb7Dbq8
20,RAYE,Euphoric Sad Songs,Regardless,spotify:track:3DTqHfTGj1c6y2gDXsTez4
21,Bastille,Bad Blood,Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795
22,PJ Harvey,Red Right Hand,Red Right Hand - From 'Peaky Blinders' Original Soundtrack,spotify:track:0E0ZAWynZx0CutIg4rb8q3
23,Sune Rose Wagner,Altered Carbon (Original Series Soundtrack) [Deluxe],Let My Baby Ride,spotify:track:6DF5tZ8H0JIk6GHxdLSWiT
24,Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),spotify:track:0e7ipj03S05BNilyu5bRzt
25,Nusrat Fateh Ali Khan,Best of Ustad Nusrat Fateh Ali Khan,Chaap Tilak Sab Cheen,spotify:track:3bd4ge8KHgWggvYMJFFHKV
26,Fareed Ayaz Abu Muhammad Qawwal,"Mehfil E Samaa, Vol. 3",Chaap Tilak,spotify:track:1M1HJZOQsAbk3ecF3FE8kG
27,Majid Jordan,Caught Up (feat. Khalid),Caught Up (feat. Khalid),spotify:track:1opARDDYaOeE1QUdwXmBGu
28,Journey,80s 100 Hits,Don't Stop Believin',spotify:track:3HRQtRUYnnuZY7fE900XtJ
29,Creedence Clearwater Revival,Green River,Bad Moon Rising,spotify:track:20OFwXhEXf12DzwXmaV7fj
30,The Weeknd,Dawn FM,Best Friends,spotify:track:78kBfiOIowbBQ96iQGQCl8
31,Nusrat Fateh Ali Khan,Body and Soul,Barsoon Kay Intizar Ka,spotify:track:1QZnpSnrAbD6NUmbpO2UHL
32,Yoke Lore,Goodpain,Beige,spotify:track:0FfZudphGgQTGeEV6AhmOs
33,Hozier,Hozier (Expanded Edition),Jackie and Wilson,spotify:track:4JpazKcfOhbwqZrsYhzHee
34,4*TOWN (From Disney and Pixar’s Turning Red),Nobody Like U,"Nobody Like U - From ""Turning Red""",spotify:track:6WdfqDzpz3XkvMSlPVc0U8
35,The Weeknd,After Hours,Scared To Live,spotify:track:4BGZF4oLbTL0pWm7C18pbv
36,The Weeknd,Dawn FM,Don’t Break My Heart,spotify:track:3LAJkm4BFdM6Qx5vhmLxsN
37,Glass Animals,Dreamland,Space Ghost Coast To Coast,spotify:track:1mvWUzig2lE0QGmvSZdnnR
38,Vansire,Metamodernity,Metamodernity,spotify:track:61GiMDN1kUiEQK6zHGMdnx
39,Ramin Djawadi,Westworld: Season 1 (Music from the HBO Series),"Paint It, Black",spotify:track:6rSVuRt7xl4GsEQv4tphSl
40,Camila Cabello,Don't Go Yet,Don't Go Yet,spotify:track:1058fW9H3fZA6QjYCdOBad
41,Prateek Kuhad,"Kasoor (From ""Dhamaka"")","Kasoor (From ""Dhamaka"") - Acoustic",spotify:track:7mJdz7uNv3jgVSIMkSf8ca
42,Hozier,Hozier (Expanded Edition),Work Song,spotify:track:5TgEJ62DOzBpGxZ7WRsrqb
43,renforshort,virtual reality,virtual reality,spotify:track:7wWqAGY1k2cr1ntffgBBH1
44,The Weeknd,Dawn FM,Out of Time,spotify:track:5pzEL5TSvnT36z8fnMuyJL
45,Childish Gambino,Kauai,Sober,spotify:track:5NhlpQ6BOIz3S5welptk1W
46,The Cardigans,First Band On The Moon,Lovefool - Radio Edit,spotify:track:0u4htORODiTK9vHVA89MQX
47,blackbear,@ my worst,@ my worst,spotify:track:0mHGftgYtmpH4y17T3VZ2E
48,Fareed Ayaz Abu Muhammad Qawwal,Annual Festival - March 2007,Ghar Nari Ganwari,spotify:track:4vMsuKK8IpCrauhaQ941II
49,Abdullah Siddiqui,GO,GO,spotify:track:6NEEbZXla00cRzXErdNZ6k
50,Julia In Red,Galaxy Dreaming,Luv Nw,spotify:track:2vWNU4PYzxvC0Sq3MZ8O7z
51,Raihan,The Spirit of Shalawat,Tola'al Badru,spotify:track:1aOo6ZkQCMmKXyjirZubee
52,Taba Chake,Blush,Blush,spotify:track:6IjeHG6oLIkZeSq2SMEAtd
53,Pritam,Dum Maaro Dum,Jiyein Kyun,spotify:track:0up9rhm9qt2LW7cnoDFCMk
54,Kings Cross Stringband,Row Me Bully Boys,Row Me Bully Boys,spotify:track:4M8KqCrBafWw7UfugjZ8ln
55,Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo),spotify:track:57RA3JGafJm5zRtKJiKPIm
56,Prateek Kuhad,Just A Word,Just A Word,spotify:track:4iP7HF6dhCmvXOk6pHnX9u
57,Labrinth,Imagination & the Misfit Kid,Mount Everest,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2
58,Ansel Elgort,Supernova,Supernova,spotify:track:2ZIZXWnU52s0C75sPYiwvh
59,Prateek Kuhad,Kasoor,Kasoor,spotify:track:08kTa3SL9sV6Iy8KLKtGql
60,DJ Khaled,GREECE (feat. Drake),GREECE (feat. Drake),spotify:track:35RJhm1pEovTBwnNR0zWad
61,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),spotify:track:2Yer0p7uB2lVBUAtANuuQp
62,Elton John,Rock Of The Westies,Don't Go Breaking My Heart,spotify:track:5nPdMALTEd7HOjn16oNf2X
