id,track_uri,track_name,artist_id,artist_name,artist_uri,genres_albums,key
0jANSH7OAAA1RAWifO47y7,spotify:track:0jANSH7OAAA1RAWifO47y7,Blinding Lights - Acoustic,7HXBbxW6YwU8lvgBew2p2A,Matt Johnson,spotify:artist:7HXBbxW6YwU8lvgBew2p2A,"['acoustic cover', 'viral pop']",Blinding Lights - Acoustic:Matt Johnson
7uhINGViZPygI2AljxO8KN,spotify:track:7uhINGViZPygI2AljxO8KN,cold/mess,0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",cold/mess:Prateek Kuhad
1UmFLqmTmgHoSyvss6Q7gw,spotify:track:1UmFLqmTmgHoSyvss6Q7gw,Serial Heartbreaker,5qa31A9HySw3T7MKWI9bGg,FLETCHER,spotify:artist:5qa31A9HySw3T7MKWI9bGg,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",Serial Heartbreaker:FLETCHER
1F6IbA7di42uPc3cff8PXV,spotify:track:1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,3l0CmX0FuQjFxr8SK7Vqag,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,"['bedroom pop', 'indie pop', 'pop']",Flaming Hot Cheetos:Clairo
2iYWAoxEzQG8LCPMrhaMoE,spotify:track:2iYWAoxEzQG8LCPMrhaMoE,Tu Ne Diwana Banaya,4EkSOXM6psqNE4w6j0tEEl,Abida Parveen,spotify:artist:4EkSOXM6psqNE4w6j0tEEl,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'pakistani pop', 'sufi']",Tu Ne Diwana Banaya:Abida Parveen
5932dbzLjkEdE7T8BGPL50,spotify:track:5932dbzLjkEdE7T8BGPL50,Blinding Lights - Chromatics Remix,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",Blinding Lights - Chromatics Remix:The Weeknd
6tDDoYIxWvMLTdKpjFkc1B,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,telepatía,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM,"['colombian pop', 'pop']",telepatía:Kali Uchis
70W4DcfkpOkulzn9xH5WJI,spotify:track:70W4DcfkpOkulzn9xH5WJI,Wild Things - Remix,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",Wild Things - Remix:Alessia Cara
51LC4grIxWkwoAAx4WN0TG,spotify:track:51LC4grIxWkwoAAx4WN0TG,Noor,4tgxFlmtGx08MtTKWeqEuR,Amitabh Bachchan,spotify:artist:4tgxFlmtGx08MtTKWeqEuR,"['classic bollywood', 'desi pop', 'filmi']",Noor:Amitabh Bachchan
7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,PROVENZA,790FomKkXshlbRYZFtlgla,KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",PROVENZA:KAROL G
7MW0vSCN9g2T5eConVGEsO,spotify:track:7MW0vSCN9g2T5eConVGEsO,Water Witch,5fIZHCg2de8322HZodBDWL,The Secret Sisters,spotify:artist:5fIZHCg2de8322HZodBDWL,"['folk', 'indie folk', 'lilith', 'new americana', 'roots rock']",Water Witch:The Secret Sisters
67BtfxlNbhBmCDR2L2l8qd,spotify:track:67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,"['lgbtq+ hip hop', 'pop']",MONTERO (Call Me By Your Name):Lil Nas X
4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,6KImCVD70vtIoJWnq6nGn3,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,['pop'],As It Was:Harry Styles
,Undercover at the Debutante Ball,Not Past It ,,,,,
,"I'm Good Luv, Enjoy.",Aaron May,,,,,
78T9DulqSBWqkaxczcGBfk,spotify:track:78T9DulqSBWqkaxczcGBfk,Man On The Moon,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,"['hip hop', 'ohio hip hop', 'rap']",Man On The Moon:Kid Cudi
6tuxI8MMx9T67pYjlMvgxG,spotify:track:6tuxI8MMx9T67pYjlMvgxG,Badunkadunk,2mqpBPOUDYAzgzeSi5XFrs,BLV,spotify:artist:2mqpBPOUDYAzgzeSi5XFrs,['new french touch'],Badunkadunk:BLV
4Tn2llBm1g0UlWctmgPL8Z,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,Shut Up And Drive,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']",Shut Up And Drive:Rihanna
4svZDCRz4cJoneBpjpx8DJ,spotify:track:4svZDCRz4cJoneBpjpx8DJ,I Did Something Bad,06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,['pop'],I Did Something Bad:Taylor Swift
,68B-Morgan le Fay: Her Majesty,Myths and Legends,,,,,
1cxttvflVlYD4QA34tR5Yj,spotify:track:1cxttvflVlYD4QA34tR5Yj,High Enough - RAC Remix,0pCNk4D3E2xtszsm6hMsWr,K.Flay,spotify:artist:0pCNk4D3E2xtszsm6hMsWr,"['electropop', 'escape room', 'hip pop', 'indie poptimism', 'modern rock', 'pop']",High Enough - RAC Remix:K.Flay
3Bi50CIlRxHpY8pT2zNHmD,spotify:track:3Bi50CIlRxHpY8pT2zNHmD,Rooftop,6UWui6Csqc1ywqnDzjOWnk,Kid Travis,spotify:artist:6UWui6Csqc1ywqnDzjOWnk,['pop'],Rooftop:Kid Travis
0EJ3Kofm9hYq3hL4VZ881G,spotify:track:0EJ3Kofm9hYq3hL4VZ881G,Big Energy (feat. DJ Khaled) - Remix,3MdXrJWsbVzdn6fe5JYkSQ,Latto,spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ,"['pop', 'r&b', 'rap', 'trap queen']",Big Energy (feat. DJ Khaled) - Remix:Latto
1Xwh83YOFQARZ3QXscP123,spotify:track:1Xwh83YOFQARZ3QXscP123,I Was Made For Loving You,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,spotify:artist:1vSN1fsvrzpbttOYGsliDr,"['dance pop', 'pop', 'post-teen pop']",I Was Made For Loving You:Tori Kelly
