artist,album,track,uri
Dan Auerbach,Keep It Hid,The Prowl,spotify:track:6KmSpuVSuYBvut7zb1e0ys
Hozier,Hozier (Expanded Edition),Take Me to Church,spotify:track:1CS7Sd1u5tWkstBhpssyjP
Giant Rooks,Wild Stare,Wild Stare,spotify:track:2SClPoLfPJmwrr3EyfgRTS
Hadiqa Kiani,"Wajd, Vol. 1",Rung,spotify:track:7hITVKrh3ZYak0oQhHJZQM
Fareed Ayaz Abu Muhammad Qawwal,"Greatest Hits, Vol. 1",Meray Banay Ki Baat,spotify:track:7qNxNXc0NmsFsdOLdZcawR
Michael Brook,Night Song,"My Heart, My Life",spotify:track:51kDnf9dngc5G01ncfKc9K
Riz Ahmed,The Long Goodbye,Any Day,spotify:track:7s3HTvGXxHM6bhMlxjYolQ
Justin Bieber,Justice,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI
Kid Cudi,Entergalactic,My Drug,spotify:track:6MQuFi8gzoJAYwxkYvnbb1
The Score,Carry On,Can You Hear Me Now,spotify:track:027qrQMWGsHo13amwdaBkI
Biryani Brothers,Ikisvi Sadi,Ikisvi Sadi,spotify:track:1w36qiuGc8Ui96uPxmN25A
Loi,Blinding Lights,Blinding Lights,spotify:track:0cQJGoRki2avKVodXEmr0d
Nusrat Fateh Ali Khan,Anthology - Nusrat Fateh Ali Khan,Aaj Rang Hai Ree Maan Hai Ree More Khwaja Ke Ghar Rang Hai Ree,spotify:track:5rG647coxeVk4yQ5npcISe
Hozier,"Wasteland, Baby!",Dinner & Diatribes,spotify:track:5tCtCqWcXBf7eoIunSxlO8
Salor,Coffee Bean,Coffee Bean,spotify:track:5fogsBq60cWKmSvbSJAZaW
Miller Blue,Rhythm in the Dance / Redbone,Redbone - Mahogany Sessions,spotify:track:1hLUzIRuUFCL0iwlDAzOVu
Prateek Kuhad,Tere Hi Hum,Tere Hi Hum,spotify:track:1TkyDEdjiUuYhoMkxdZCiO
J. Cole,2014 Forest Hills Drive,No Role Modelz,spotify:track:62vpWI1CHwFy7tMIcSStl8
Jessica Ricca,Hey It’s Delilah (Plain White T's Cover),Hey It’s Delilah (Plain White T's Cover),spotify:track:7iQAUulHOCpy20Io4CPAL0
Quinn XCII,A Letter To My Younger Self,Stacy,spotify:track:07ZQLYn9x4x3L3vxStc1zr
The Walters,I Love You So,I Love You So,spotify:track:4SqWKzw0CbA05TGszDgMlc
Ty Dolla $ign,Featuring Ty Dolla $ign,Spicy (feat. Post Malone),spotify:track:5IUtvfNvOyVYZUa6AJFrnP
Fareed Ayaz Abu Muhammad Qawwal,"Greatest Hits, Vol. 2",Ghar Nari Gawari,spotify:track:59otpKqzYoYdUbj69YUVLa
Danheim,Herja,Atgeir,spotify:track:1XAV6ZiIT6aBRRpVSAHTd0
Pitbull,Planet Pit (Deluxe Version),"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",spotify:track:4QNpBfC0zvjKqPJcyqBy9W
Marianas Trench,Ever After,Desperate Measures,spotify:track:6JikuKcWFuPPC4MyKfvkHQ
Rovalio,Iraaday,Iraaday,spotify:track:6qrifdo7QINdPQr80IelGi
Dimitri Vegas & Like Mike,Too Much,Too Much,spotify:track:4m9HfhURlzkhM8kK4SqTqM
Kailash Kher,Javeda Sufiaana,Teri Deewani,spotify:track:3SmSv2sa0hvzxKLXZz4iVk
The Tokens,Both Sides Now,The Lion Sleeps Tonight,spotify:track:5X6VbizePQKSnt55YWWyGS
Matt Johnson,Blinding Lights,Blinding Lights - Acoustic,spotify:track:0AnCfsyN0FGqehGdJYggaN
Drake,0 To 100 / The Catch Up,0 To 100 / The Catch Up,spotify:track:4jtyUzZm9WLc2AdaJ1dso7
Ankur Tewari,Gully Boy,Jeene Mein Aye Maza,spotify:track:33HXbggKvIitg7y3UBhNfn
Nusrat Fateh Ali Khan,"Best of Nusrat Fateh Ali Khan, Vol. 3",Aaj Rang Hai,spotify:track:0WBkJWrLbVX44VXTg0fVtz
The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer,Kokomo,spotify:track:5qHYXcVvc9xsFB2uH7GpMN
Cheriimoya,"Living Life, In The Night","Living Life, In The Night",spotify:track:2kx5sQgmjYug0GiDh1a4sU
